Major Pipeline Crossing Multiple State Borders (Capacity in MMcfd),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pipeline,Segment,State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
,Kern River Gas Trans Co,M3,Nevada,California,"2,146","2,146","2,146","2,146","2,146","2,146","2,146","2,146","1,880","1,735","1,735","1,735"
,Kern River Gas Trans Co,Main Line,Max Capacity,,"2,445","2,445","2,445","2,445","2,445","2,445","2,445","2,445","2,179","2,034","2,034","2,034"
,,,,,,,,,,,,,,,,
,Maritimes/Northeast PL Co,M1,New Brunswick,Maine,833,833,833,833,833,833,833,833,833,833,415,415
,Maritimes/Northeast PL Co,M2,Maine,New Hampshire,835,833,833,833,833,833,833,833,833,833,628,628
,Maritimes/Northeast PL Co,M3,New Hampshire,Massachusetts,835,833,833,833,833,833,833,833,833,833,628,628
,Maritimes/Northeast PL Co,M1 Back,Maine,New Brunswick,833,833,833,833,833,833,833,833,833,833,415,415
,Maritimes/Northeast PL Co,Main Line,Max Capacity (Northward),,833,833,833,833,833,833,833,833,833,833,415,415
,Maritimes/Northeast PL Co,Main Line,Max Capacity (Southward),,835,833,833,833,833,833,833,833,833,833,628,628
,,,,,,,,,,,,,,,,
,Midcontinent Express Pipeline LLC,M1,Oklahoma,Texas,"1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,533",0,0
,Midcontinent Express Pipeline LLC,M2,Texas,Louisiana,"1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,533",0,0
