year,Pipeline,Region From,Region To,State From,County From,State To,County To,Capacity (mmcfd),Notes
2018.0,Great Lakes Gas Trans Ltd,Midwest,Canada,Minnesota,Kittson,Manitoba,Manitoba,713.0,Updated to reflect bidirectional flow; capacity from NEB
2018.0,Great Lakes Gas Trans Ltd,Midwest,Intra-regional,Minnesota,St Louis,Wisconsin,Douglas,2226.0,
2018.0,Great Lakes Gas Trans Ltd,Canada,Midwest,Ontario,Ontario,Michigan,St. Clair,1482.0,
2018.0,Great Lakes Gas Trans Ltd,Midwest,Intra-regional,Wisconsin,Iron,Michigan,Gogebic,2226.0,
2018.0,Great Lakes Gas Trans Ltd,Midwest,Intra-regional,Wisconsin,Douglas,Minnesota,St Louis,2226.0,
2018.0,Guarden Banks Pipeline,Gulf of Mexico,Intra-regional,Gulf of Mexico - Deepwater,Guarden Banks 128A,Gulf of Mexico,South Marsh Island 76,1000.0,
2018.0,Guardian Pipeline Co,Midwest,Intra-regional,Illinois,Mchenry,Wisconsin,Walworth,1287.0,
2018.0,Gulf Crossing Pipeline,South Central,Intra-regional,Oklahoma,Bryan,Texas,Lamar,1726.0,
2018.0,Gulf Crossing Pipeline,South Central,Intra-regional,Texas,Cass,Louisiana,Caddo,1726.0,
2018.0,Gulf South Pipeline Co,South Central,Southeast,Alabama,Baldwin,Florida,Escambia,190.0,
2018.0,Gulf South Pipeline Co,South Central,Intra-regional,Alabama,Mobile,Mississippi,George,200.0,
2018.0,Gulf South Pipeline Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Louisiana,St. Mary,0.0,"Zero Gulf South Capacity as duplicate of Nautilus, Discovery, and Venice Gathering System"
2018.0,Gulf South Pipeline Co,South Central,Intra-regional,Louisiana,Madison,Mississippi,Warren,2346.0,
2018.0,Gulf South Pipeline Co,South Central,Intra-regional,Louisiana,St. Tammany,Mississippi,Hancock,950.0,
2018.0,Gulf South Pipeline Co,South Central,Intra-regional,Louisiana,Caddo,Texas,Harrison,20.0,
